,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$86 000 ,323 360 ريال,,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$66 000 ,248 160 ريال,,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$12 000 ,44 520 د.إ.‏,,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$28 000 ,8 680 د.ب.‏,,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$74 035 ,28 133 د.ب.‏,,,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$113 888 ,44 416 ر.ع.‏,,,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$92 800 ,343 360 ر.ق.‏
,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$76 000 ,285 760 ريال,,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$56 000 ,210 560 ريال,,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$2 000 ,7 420 د.إ.‏,,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$18 000 ,5 580 د.ب.‏,,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$64 035 ,24 333 د.ب.‏,,,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$103 888 ,40 516 ر.ع.‏,,,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$82 800 ,306 360 ر.ق.‏
,20% رسوم الجمارك والضريبة  ,$15 600 ,58 656 ريال,,5% رسوم الجمارك  ,$2 900 ,10 904 ريال,,10% رسوم الجمارك  ,$700 ,2 597 د.إ.‏,,5% رسوم الجمارك  ,$1 000 ,310 د.ب.‏,,15% رسوم الجمارك  ,$9 905 ,3 764 د.ب.‏,,,10% رسوم الجمارك  ,$10 589 ,4 130 ر.ع.‏,,,5% رسوم الجمارك  ,$4 240 ,15 688 ر.ق.‏
,السعر شامل ,$101 600 ,382 016 ريال,,السعر شامل ,$68 900 ,259 064 ريال,,السعر شامل ,$12 700 ,47 117 د.إ.‏,,السعر شامل ,$29 000 ,8 990 د.ب.‏,,السعر شامل ,$83 940 ,31 897 د.ب.‏,,,السعر شامل ,$124 477 ,48 546 ر.ع.‏,,,السعر شامل ,$97 040 ,359 048 ر.ق.‏
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALCULATION USA KSA,USA دولار,SAR ريال,,CALCULATION USA UAE,USA دولار,AHD درهم,,CALCULATION KSA PLUS,USA دولار,SAR ريال,,,,,,,,,,,,,,,,,,
,العربون,$2 000 ,7 520 ريال,,العربون,$2 000 ,7 420 د.إ.‏,,العربون,$10 000 ,37 600 ريال,,,,,,,,,,,,,,,,,,
,قيمة السيارة ,$26 988 ,101 475 ريال,,قيمة السيارة ,$40 671 ,150 889 د.إ.‏,,قيمة شراء السيارة,$58 000 ,218 080 ريال,,,,,,,,,,,,,,,,,,
,رسوم المزاد,$1 000 ,3 760 ريال,,رسوم المزاد,$0 ,0 د.إ.‏,,رسوم المزاد تتراوح من 500$ الى 1800$ ,$0 ,0 ريال,,,,,,,,,,,,,,,,,,
,رسوم التايتل ورسوم اللوحة المؤقته ,$60 ,226 ريال,,رسوم التايتل ورسوم اللوحة المؤقته ,$60 ,223 د.إ.‏,,رسوم تخليص السيارة من امريكا,$8 000 ,30 080 ريال,,,,,,,,,,,,,,,,,,
,رسوم الشحن الداخلي على حسب مدينتك,$1 200 ,4 512 ريال,,رسوم الشحن الداخلي على حسب مدينتك,$600 ,2 226 د.إ.‏,,قيمة السيارة حتى وصولها الى الميناء قبل خصم العربون,$66 000 ,248 160 ريال,,,,,,,,,,,,,,,,,,
,رسوم خاصة بتخليص السيارة من امريكا,$2 000 ,7 520 ريال,,رسوم خاصة بتخليص السيارة من امريكا,$2 000 ,7 420 د.إ.‏,,قيمة السيارة حتى وصولها الى الميناء بعد خصم العربون,$56 000 ,210 560 ريال,,,,,,,,,,,,,,,,,,
,قيمة السيارة قبل خصم العربون ,$31 248 ,117 492 ريال,,قيمة السيارة قبل خصم العربون ,$43 331 ,160 758 د.إ.‏,,20% تخفيض من قيمة السيارة ,"$11 600,0 ",43 616 ريال,,,,,,,,,,,,,,,,,,
,قيمة السيارة بعد خصم العربون ,$29 248 ,109 972 ريال,,قيمة السيارة بعد خصم العربون ,$41 331 ,153 338 د.إ.‏,,20% تخفيض  ,"$46 400,0 ",174 464 ريال,,,,,,,,,,,,,,,,,,
,المبلغ المطلوب,$29 248 ,109 972 ريال,,المبلغ المطلوب,$41 331 ,153 338 د.إ.‏,,20% رسوم الجمارك والضريبة  ,"$9 280,0 ",34 893 ريال,,,,,,,,,,,,,,,,,,
,,,,,,,,,السعر شامل ,"$75 280,0 ",283 053 ريال,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,المبلغ المطلوب تحويلة من المؤسسة,USA دولار,SAR ريال,,CALCULATION SHIPPING INSURANCE KSA,USA دولار,SAR ريال,,CALCULATION SHIPPING INSURANCE  UAE,USA دولار,درهم UAE ,,CALCULATION SHIPPING INSURANCE  KWD,USA دولار,KWD  دينار,,CALCULATION SHIPPING INSURANCE  BHD,USA دولار,BHD  دينار,,,CALCULATION SHIPPING INSURANCE  OMR,USA دولار,OMR  ريال,,,CALCULATION SHIPPING INSURANCE  QAR,USA دولار,QAR  ريال
,قيمة السيارة ,$72 005 ,270 739 ريال,,قيمة السيارة ,$70 000 ,263 200 ريال,,قيمة السيارة ,$79 145 ,293 628 د.إ.‏,,قيمة السيارة ,$79 145 ,24 535 د.ك.‏,,قيمة السيارة ,$79 145 ,30 075 د.ب.‏,,,قيمة السيارة ,$79 145 ,30 867 ر.ع.‏,,,قيمة السيارة ,$79 145 ,292 837 ر.ق.‏
,رسوم المزاد تتراوح من 500$ الى 1800$ بالدولار,$0 ,0 ريال,,قيمة التأمين المطلوبة من العميل,$1 400 ,5 264 ريال,,قيمة التأمين المطلوبة من العميل,$1 979 ,7 341 د.إ.‏,,قيمة التأمين المطلوبة من العميل,$1 979 ,613 د.ك.‏,,قيمة التأمين المطلوبة من العميل,$1 979 ,752 د.ب.‏,,,قيمة التأمين المطلوبة من العميل,$1 979 ,772 ر.ع.‏,,,قيمة التأمين المطلوبة من العميل,$1 979 ,7 321 ر.ق.‏
,رسوم خاصة بتخليص السيارة من امريكا,$2 000 ,7 520 ريال,,قيمة التأمين ل GBL,$525 ,1 974 ريال,,قيمة التأمين ل GBL,$989 ,3 670 د.إ.‏,,قيمة التأمين ل GBL,$989 ,307 د.ك.‏,,قيمة التأمين ل GBL,$989 ,376 د.ب.‏,,,قيمة التأمين ل GBL,$989 ,386 ر.ع.‏,,,قيمة التأمين ل GBL,$989 ,3 660 ر.ق.‏
,السعر المطلوب تحويلة الى المعرض,$74 005 ,278 259 ريال,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AMOUNT,USA دولار,SAR ريال,,,,,,,,,,,,,,,,,,,,,,,,,,
,FILE NUMBER, 45 ,169 ريال,,,,,,,,,,,,,,,,,,,,,,,,,,
,FULL AMOUNT INVOICE BDAS,$104 091 ,391 382 ريال,,,,,,,,,,,,,,,,,,,,,,,,,,
,FULL AMOUNT INVOICE OH,$106 091 ,398 902 ريال,,,,,,,,,,,,,,,,,,,,,,,,,,
,20% DISCOUNT,$20 818 ,78 276 ريال,,,,,,,,,,,,,,,,,,,,,,,,,,
,FULL AMOUNT INVOICE KSA,$83 273 ,313 106 ريال,,,,,,,,,,,,,,,,,,,,,,,,,,
